wav,txt
fechas2/train/fechas2_000000.es.wav,por favor el siguiente jueves | next_day('thursday')
fechas2/train/fechas2_000001.es.wav,el viernes que viene | next_day('friday')
fechas2/train/fechas2_000002.es.wav,el viernes gracias | next_day('friday')
fechas2/train/fechas2_000003.es.wav,el martes por favor | next_day('tuesday')
fechas2/train/fechas2_000004.es.wav,mañana | relative_day(+1)
fechas2/train/fechas2_000005.es.wav,este viernes que viene gracias | next_day('friday')
fechas2/train/fechas2_000006.es.wav,pasado mañana | relative_day(+2)
fechas2/train/fechas2_000007.es.wav,por favor este martes que viene | next_day('tuesday')
fechas2/train/fechas2_000008.es.wav,mañana | relative_day(+1)
fechas2/train/fechas2_000009.es.wav,el siguiente lunes | next_day('monday')
fechas2/train/fechas2_000010.es.wav,el próximo jueves | next_day('thursday')
fechas2/train/fechas2_000011.es.wav,este viernes que viene gracias | next_day('friday')
fechas2/train/fechas2_000012.es.wav,el viernes siguiente por favor | next_day('friday')
fechas2/train/fechas2_000013.es.wav,este martes | next_day('tuesday')
fechas2/train/fechas2_000014.es.wav,por favor mañana | relative_day(+1)
fechas2/train/fechas2_000015.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000016.es.wav,por favor el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000017.es.wav,el próximo lunes | next_day('monday')
fechas2/train/fechas2_000018.es.wav,por favor el siguiente viernes | next_day('friday')
fechas2/train/fechas2_000019.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000020.es.wav,el martes gracias | next_day('tuesday')
fechas2/train/fechas2_000021.es.wav,en un par de días | relative_day(+2)
fechas2/train/fechas2_000022.es.wav,este lunes | next_day('monday')
fechas2/train/fechas2_000023.es.wav,el viernes que viene | next_day('friday')
fechas2/train/fechas2_000024.es.wav,el próximo viernes | next_day('friday')
fechas2/train/fechas2_000025.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000026.es.wav,el martes | next_day('tuesday')
fechas2/train/fechas2_000027.es.wav,en tres días | relative_day(+3)
fechas2/train/fechas2_000028.es.wav,por favor mañana | relative_day(+1)
fechas2/train/fechas2_000029.es.wav,este miércoles que viene por favor | next_day('wednesday')
fechas2/train/fechas2_000030.es.wav,por favor en un par de días | relative_day(+2)
fechas2/train/fechas2_000031.es.wav,por favor el próximo martes | next_day('tuesday')
fechas2/train/fechas2_000032.es.wav,el siguiente viernes gracias | next_day('friday')
fechas2/train/fechas2_000033.es.wav,el martes siguiente | next_day('tuesday')
