wav,txt
fechas2/train/fechas2_000000.en.wav,please next thursday | next_day('thursday')
fechas2/train/fechas2_000001.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000002.en.wav,friday thank you | next_day('friday')
fechas2/train/fechas2_000003.en.wav,tuesday please | next_day('tuesday')
fechas2/train/fechas2_000004.en.wav,tomorrow | relative_day(+1)
fechas2/train/fechas2_000005.en.wav,this coming friday thanks | next_day('friday')
fechas2/train/fechas2_000006.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000007.en.wav,please this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000008.en.wav,tomorrow | relative_day(+1)
fechas2/train/fechas2_000009.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000010.en.wav,next thursday | next_day('thursday')
fechas2/train/fechas2_000011.en.wav,this coming friday thanks | next_day('friday')
fechas2/train/fechas2_000012.en.wav,next friday please | next_day('friday')
fechas2/train/fechas2_000013.en.wav,this tuesday | next_day('tuesday')
fechas2/train/fechas2_000014.en.wav,please tomorrow | relative_day(+1)
fechas2/train/fechas2_000015.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000016.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000017.en.wav,next monday | next_day('monday')
fechas2/train/fechas2_000018.en.wav,please next friday | next_day('friday')
fechas2/train/fechas2_000019.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000020.en.wav,tuesday thank you. | next_day('tuesday')
fechas2/train/fechas2_000021.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000022.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000023.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000024.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000025.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000026.en.wav,tuesday | next_day('tuesday')
fechas2/train/fechas2_000027.en.wav,in three days | relative_day(+3)
fechas2/train/fechas2_000028.en.wav,please tomorrow | relative_day(+1)
fechas2/train/fechas2_000029.en.wav,this coming wednesday please | next_day('wednesday')
fechas2/train/fechas2_000030.en.wav,please in a couple of days | relative_day(+2)
fechas2/train/fechas2_000031.en.wav,please next tuesday | next_day('tuesday')
fechas2/train/fechas2_000032.en.wav,next friday thank you | next_day('friday')
fechas2/train/fechas2_000033.en.wav,the following tuesday | next_day('tuesday')
fechas2/train/fechas2_000034.en.wav,tuesday | next_day('tuesday')
fechas2/train/fechas2_000035.en.wav,this monday | next_day('monday')
fechas2/train/fechas2_000036.en.wav,this coming wednesday | next_day('wednesday')
fechas2/train/fechas2_000037.en.wav,the day after tomorrow | relative_day(+2)
fechas2/train/fechas2_000038.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000039.en.wav,thursday please | next_day('thursday')
fechas2/train/fechas2_000040.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000041.en.wav,this coming monday please | next_day('monday')
fechas2/train/fechas2_000042.en.wav,in three days thanks | relative_day(+3)
fechas2/train/fechas2_000043.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000044.en.wav,wednesday | next_day('wednesday')
fechas2/train/fechas2_000045.en.wav,this friday | next_day('friday')
fechas2/train/fechas2_000046.en.wav,next friday thank you | next_day('friday')
fechas2/train/fechas2_000047.en.wav,in a couple of days please | relative_day(+2)
fechas2/train/fechas2_000048.en.wav,this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000049.en.wav,in a couple of days | relative_day(+2)
fechas2/train/fechas2_000050.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000051.en.wav,in three days thanks | relative_day(+3)
fechas2/train/fechas2_000052.en.wav,please this coming tuesday | next_day('tuesday')
fechas2/train/fechas2_000053.en.wav,wednesday please | next_day('wednesday')
fechas2/train/fechas2_000054.en.wav,next friday | next_day('friday')
fechas2/train/fechas2_000055.en.wav,please this coming monday | next_day('monday')
fechas2/train/fechas2_000056.en.wav,tuesday thank you. | next_day('tuesday')
fechas2/train/fechas2_000057.en.wav,next thursday | next_day('thursday')
