2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-17 03:18:07 - INFO - Log guardado en: logs\Pob_5000_17_03_18.log
2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - 
================================================================================
2025-10-17 03:18:07 - INFO - ALGORITMO GENÉTICO
2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - Días: 20
2025-10-17 03:18:07 - INFO - Lugares/día: 12
2025-10-17 03:18:07 - INFO - Población: 5000
2025-10-17 03:18:07 - INFO - Tiempo límite: 8h 0m (8.00h)
2025-10-17 03:18:07 - INFO - Elitismo: 15%
2025-10-17 03:18:07 - INFO - Dataset: 1367 lugares en 10 ciudades
2025-10-17 03:18:07 - INFO - ================================================================================

2025-10-17 03:18:07 - INFO - Creando población inicial
2025-10-17 03:18:22 - INFO - Evaluando población inicial
2025-10-17 03:20:57 - INFO - 
Iniciando evolución (hasta 28800s)...

2025-10-17 03:23:56 - INFO -   Gen    1 | Tiempo:    2.8m (resta: 477m) | Fitness: -47093.7 | Puntos: 12302 | Dist:   274.6km
2025-10-17 03:27:09 - INFO -   Gen    2 | Tiempo:    5.8m (resta: 474m) | Fitness: -39540.5 | Puntos: 11801 | Dist:   245.8km
2025-10-17 03:30:25 - INFO -   Gen    3 | Tiempo:    9.0m (resta: 470m) | Fitness: -39540.5 | Puntos: 11801 | Dist:   245.8km
2025-10-17 03:33:39 - INFO -   Gen    4 | Tiempo:   12.3m (resta: 467m) | Fitness: -34561.7 | Puntos: 11779 | Dist:   243.2km
2025-10-17 03:36:49 - INFO -   Gen    5 | Tiempo:   15.5m (resta: 464m) | Fitness: -32019.3 | Puntos: 12010 | Dist:   190.4km
2025-10-17 03:39:56 - INFO -   Gen    6 | Tiempo:   18.7m (resta: 461m) | Fitness: -21922.8 | Puntos: 12033 | Dist:   185.9km
2025-10-17 03:42:58 - INFO -   Gen    7 | Tiempo:   21.8m (resta: 458m) | Fitness: -21922.8 | Puntos: 12033 | Dist:   185.9km
2025-10-17 03:45:58 - INFO -   Gen    8 | Tiempo:   24.8m (resta: 455m) | Fitness: -16214.7 | Puntos: 13041 | Dist:   224.7km
2025-10-17 03:48:55 - INFO -   Gen    9 | Tiempo:   27.8m (resta: 452m) | Fitness:  -4452.8 | Puntos: 12031 | Dist:   207.1km
2025-10-17 03:51:49 - INFO -   Gen   10 | Tiempo:   30.8m (resta: 449m) | Fitness:   -799.7 | Puntos: 12060 | Dist:   229.4km
2025-10-17 03:54:38 - INFO -   Gen   11 | Tiempo:   33.7m (resta: 446m) | Fitness:   -799.7 | Puntos: 12060 | Dist:   229.4km
2025-10-17 03:57:25 - INFO -   Gen   12 | Tiempo:   36.5m (resta: 443m) | Fitness:    -31.5 | Puntos: 11935 | Dist:   238.2km
2025-10-17 04:00:07 - INFO -   Gen   13 | Tiempo:   39.3m (resta: 440m) | Fitness:    -31.5 | Puntos: 11935 | Dist:   238.2km
2025-10-17 04:02:45 - INFO -   Gen   14 | Tiempo:   42.0m (resta: 438m) | Fitness:    -31.5 | Puntos: 11935 | Dist:   238.2km
2025-10-17 04:05:19 - INFO -   Gen   15 | Tiempo:   44.6m (resta: 435m) | Fitness:    -31.5 | Puntos: 11935 | Dist:   238.2km
2025-10-17 04:07:54 - INFO -   Gen   16 | Tiempo:   47.2m (resta: 432m) | Fitness:   3523.1 | Puntos: 12144 | Dist:   225.7km
2025-10-17 04:10:25 - INFO -   Gen   17 | Tiempo:   49.8m (resta: 430m) | Fitness:   3523.1 | Puntos: 12144 | Dist:   225.7km
2025-10-17 04:12:53 - INFO -   Gen   18 | Tiempo:   52.3m (resta: 427m) | Fitness:   3523.1 | Puntos: 12144 | Dist:   225.7km
2025-10-17 04:15:20 - INFO -   Gen   19 | Tiempo:   54.8m (resta: 425m) | Fitness:   3555.3 | Puntos: 12174 | Dist:   218.3km
2025-10-17 04:17:43 - INFO -   Gen   20 | Tiempo:   57.2m (resta: 422m) | Fitness:   3555.3 | Puntos: 12174 | Dist:   218.3km
2025-10-17 04:20:07 - INFO -   Gen   21 | Tiempo:   59.6m (resta: 420m) | Fitness:   3555.3 | Puntos: 12174 | Dist:   218.3km
2025-10-17 04:22:31 - INFO -   Gen   22 | Tiempo:   62.0m (resta: 418m) | Fitness:   6237.0 | Puntos: 12924 | Dist:   211.3km
2025-10-17 04:24:56 - INFO -   Gen   23 | Tiempo:   64.4m (resta: 415m) | Fitness:   6237.0 | Puntos: 12924 | Dist:   211.3km
2025-10-17 04:27:18 - INFO -   Gen   24 | Tiempo:   66.8m (resta: 413m) | Fitness:   6555.8 | Puntos: 11656 | Dist:   229.1km
2025-10-17 04:29:35 - INFO -   Gen   25 | Tiempo:   69.2m (resta: 410m) | Fitness:   6555.8 | Puntos: 11656 | Dist:   229.1km
2025-10-17 04:31:53 - INFO -   Gen   26 | Tiempo:   71.5m (resta: 408m) | Fitness:   7346.1 | Puntos: 13047 | Dist:   225.2km
2025-10-17 04:34:11 - INFO -   Gen   27 | Tiempo:   73.8m (resta: 406m) | Fitness:   8055.5 | Puntos: 12025 | Dist:   231.8km
2025-10-17 04:36:28 - INFO -   Gen   28 | Tiempo:   76.1m (resta: 403m) | Fitness:   8055.5 | Puntos: 12025 | Dist:   231.8km
2025-10-17 04:38:43 - INFO -   Gen   29 | Tiempo:   78.4m (resta: 401m) | Fitness:   8055.5 | Puntos: 12025 | Dist:   231.8km
2025-10-17 04:40:57 - INFO -   Gen   30 | Tiempo:   80.6m (resta: 399m) | Fitness:   8170.5 | Puntos: 12937 | Dist:   221.7km
2025-10-17 04:43:11 - INFO -   Gen   31 | Tiempo:   82.8m (resta: 397m) | Fitness:   8170.5 | Puntos: 12937 | Dist:   221.7km
2025-10-17 04:45:21 - INFO -   Gen   32 | Tiempo:   85.1m (resta: 394m) | Fitness:   8170.5 | Puntos: 12937 | Dist:   221.7km
2025-10-17 04:47:29 - INFO -   Gen   33 | Tiempo:   87.2m (resta: 392m) | Fitness:   8170.5 | Puntos: 12937 | Dist:   221.7km
2025-10-17 04:49:39 - INFO -   Gen   34 | Tiempo:   89.4m (resta: 390m) | Fitness:   8170.5 | Puntos: 12937 | Dist:   221.7km
2025-10-17 04:51:47 - INFO -   Gen   35 | Tiempo:   91.5m (resta: 388m) | Fitness:   8174.1 | Puntos: 12031 | Dist:   189.7km
2025-10-17 04:53:55 - INFO -   Gen   36 | Tiempo:   93.7m (resta: 386m) | Fitness:   8204.1 | Puntos: 12077 | Dist:   243.2km
2025-10-17 04:56:01 - INFO -   Gen   37 | Tiempo:   95.8m (resta: 384m) | Fitness:   8204.1 | Puntos: 12077 | Dist:   243.2km
2025-10-17 04:58:07 - INFO -   Gen   38 | Tiempo:   97.9m (resta: 382m) | Fitness:   8548.1 | Puntos: 13014 | Dist:   219.8km
2025-10-17 05:00:13 - INFO -   Gen   39 | Tiempo:  100.0m (resta: 380m) | Fitness:   8548.1 | Puntos: 13014 | Dist:   219.8km
2025-10-17 05:02:19 - INFO -   Gen   40 | Tiempo:  102.1m (resta: 377m) | Fitness:   8548.1 | Puntos: 13014 | Dist:   219.8km
2025-10-17 05:04:26 - INFO -   Gen   41 | Tiempo:  104.2m (resta: 375m) | Fitness:   8626.3 | Puntos: 12992 | Dist:   218.9km
2025-10-17 05:06:35 - INFO -   Gen   42 | Tiempo:  106.3m (resta: 373m) | Fitness:   8626.3 | Puntos: 12992 | Dist:   218.9km
2025-10-17 05:08:44 - INFO -   Gen   43 | Tiempo:  108.5m (resta: 371m) | Fitness:   8626.3 | Puntos: 12992 | Dist:   218.9km
2025-10-17 05:10:53 - INFO -   Gen   44 | Tiempo:  110.6m (resta: 369m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:13:01 - INFO -   Gen   45 | Tiempo:  112.8m (resta: 367m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:15:11 - INFO -   Gen   46 | Tiempo:  114.9m (resta: 365m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:17:18 - INFO -   Gen   47 | Tiempo:  117.1m (resta: 362m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:19:27 - INFO -   Gen   48 | Tiempo:  119.2m (resta: 360m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:21:39 - INFO -   Gen   49 | Tiempo:  121.3m (resta: 358m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:23:46 - INFO -   Gen   50 | Tiempo:  123.5m (resta: 356m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:25:51 - INFO -   Gen   51 | Tiempo:  125.7m (resta: 354m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:27:55 - INFO -   Gen   52 | Tiempo:  127.7m (resta: 352m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:29:58 - INFO -   Gen   53 | Tiempo:  129.8m (resta: 350m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:32:00 - INFO -   Gen   54 | Tiempo:  131.8m (resta: 348m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:34:01 - INFO -   Gen   55 | Tiempo:  133.9m (resta: 346m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:36:04 - INFO -   Gen   56 | Tiempo:  135.9m (resta: 344m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:38:03 - INFO -   Gen   57 | Tiempo:  137.9m (resta: 342m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:40:01 - INFO -   Gen   58 | Tiempo:  139.9m (resta: 340m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:41:57 - INFO -   Gen   59 | Tiempo:  141.9m (resta: 338m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:43:46 - INFO -   Gen   60 | Tiempo:  143.8m (resta: 336m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:45:28 - INFO -   Gen   61 | Tiempo:  145.6m (resta: 334m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:47:00 - INFO -   Gen   62 | Tiempo:  147.3m (resta: 332m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:48:26 - INFO -   Gen   63 | Tiempo:  148.9m (resta: 331m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:49:47 - INFO -   Gen   64 | Tiempo:  150.3m (resta: 329m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:51:01 - INFO -   Gen   65 | Tiempo:  151.7m (resta: 328m) | Fitness:   9376.8 | Puntos: 12841 | Dist:   214.1km
2025-10-17 05:52:10 - INFO -   Gen   66 | Tiempo:  152.9m (resta: 327m) | Fitness:   9376.8 | Puntos: 12841 | Dist:   214.1km
2025-10-17 05:53:15 - INFO -   Gen   67 | Tiempo:  154.0m (resta: 325m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:54:15 - INFO -   Gen   68 | Tiempo:  155.1m (resta: 324m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:55:15 - INFO -   Gen   69 | Tiempo:  156.1m (resta: 323m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:57:10 - INFO -   Gen   71 | Tiempo:  158.1m (resta: 321m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 05:59:02 - INFO -   Gen   73 | Tiempo:  160.0m (resta: 320m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:00:53 - INFO -   Gen   75 | Tiempo:  161.9m (resta: 318m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:02:40 - INFO -   Gen   77 | Tiempo:  163.7m (resta: 316m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:04:24 - INFO -   Gen   79 | Tiempo:  165.4m (resta: 314m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:06:04 - INFO -   Gen   81 | Tiempo:  167.1m (resta: 312m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:07:40 - INFO -   Gen   83 | Tiempo:  168.7m (resta: 311m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:09:16 - INFO -   Gen   85 | Tiempo:  170.3m (resta: 309m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
