2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-17 03:18:05 - INFO - Log guardado en: logs\Pob_3000_17_03_18.log
2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - 
================================================================================
2025-10-17 03:18:05 - INFO - ALGORITMO GENÉTICO
2025-10-17 03:18:05 - INFO - ================================================================================
2025-10-17 03:18:05 - INFO - Días: 20
2025-10-17 03:18:05 - INFO - Lugares/día: 12
2025-10-17 03:18:05 - INFO - Población: 3000
2025-10-17 03:18:05 - INFO - Tiempo límite: 8h 0m (8.00h)
2025-10-17 03:18:05 - INFO - Elitismo: 15%
2025-10-17 03:18:05 - INFO - Dataset: 1367 lugares en 10 ciudades
2025-10-17 03:18:05 - INFO - ================================================================================

2025-10-17 03:18:05 - INFO - Creando población inicial
2025-10-17 03:18:14 - INFO - Evaluando población inicial
2025-10-17 03:19:50 - INFO - 
Iniciando evolución (hasta 28800s)...

2025-10-17 03:21:38 - INFO -   Gen    1 | Tiempo:    1.7m (resta: 478m) | Fitness: -32025.8 | Puntos: 11936 | Dist:   303.0km
2025-10-17 03:23:35 - INFO -   Gen    2 | Tiempo:    3.5m (resta: 476m) | Fitness: -16553.8 | Puntos: 11883 | Dist:   287.4km
2025-10-17 03:25:34 - INFO -   Gen    3 | Tiempo:    5.5m (resta: 474m) | Fitness: -16553.8 | Puntos: 11883 | Dist:   287.4km
2025-10-17 03:27:32 - INFO -   Gen    4 | Tiempo:    7.5m (resta: 472m) | Fitness: -16553.8 | Puntos: 11883 | Dist:   287.4km
2025-10-17 03:29:27 - INFO -   Gen    5 | Tiempo:    9.4m (resta: 470m) | Fitness: -16553.8 | Puntos: 11883 | Dist:   287.4km
2025-10-17 03:31:19 - INFO -   Gen    6 | Tiempo:   11.4m (resta: 468m) | Fitness: -16124.7 | Puntos: 12019 | Dist:   308.7km
2025-10-17 03:33:09 - INFO -   Gen    7 | Tiempo:   13.2m (resta: 466m) | Fitness: -13427.8 | Puntos: 11937 | Dist:   305.6km
2025-10-17 03:34:58 - INFO -   Gen    8 | Tiempo:   15.1m (resta: 464m) | Fitness: -13427.8 | Puntos: 11937 | Dist:   305.6km
2025-10-17 03:36:42 - INFO -   Gen    9 | Tiempo:   16.9m (resta: 463m) | Fitness: -10570.8 | Puntos: 11775 | Dist:   285.0km
2025-10-17 03:38:23 - INFO -   Gen   10 | Tiempo:   18.6m (resta: 461m) | Fitness: -10570.8 | Puntos: 11775 | Dist:   285.0km
2025-10-17 03:40:01 - INFO -   Gen   11 | Tiempo:   20.3m (resta: 459m) | Fitness: -10570.8 | Puntos: 11775 | Dist:   285.0km
2025-10-17 03:41:35 - INFO -   Gen   12 | Tiempo:   21.9m (resta: 458m) | Fitness:  -2812.1 | Puntos: 11755 | Dist:   223.6km
2025-10-17 03:43:07 - INFO -   Gen   13 | Tiempo:   23.5m (resta: 456m) | Fitness:  -2812.1 | Puntos: 11755 | Dist:   223.6km
2025-10-17 03:44:34 - INFO -   Gen   14 | Tiempo:   25.0m (resta: 454m) | Fitness:   6710.1 | Puntos: 11677 | Dist:   223.1km
2025-10-17 03:46:02 - INFO -   Gen   15 | Tiempo:   26.5m (resta: 453m) | Fitness:   7019.6 | Puntos: 11687 | Dist:   224.5km
2025-10-17 03:47:27 - INFO -   Gen   16 | Tiempo:   27.9m (resta: 452m) | Fitness:   7019.6 | Puntos: 11687 | Dist:   224.5km
2025-10-17 03:48:46 - INFO -   Gen   17 | Tiempo:   29.4m (resta: 450m) | Fitness:   7019.6 | Puntos: 11687 | Dist:   224.5km
2025-10-17 03:50:03 - INFO -   Gen   18 | Tiempo:   30.7m (resta: 449m) | Fitness:   7331.5 | Puntos: 11877 | Dist:   243.1km
2025-10-17 03:51:17 - INFO -   Gen   19 | Tiempo:   32.0m (resta: 448m) | Fitness:   7331.5 | Puntos: 11877 | Dist:   243.1km
2025-10-17 03:52:26 - INFO -   Gen   20 | Tiempo:   33.2m (resta: 446m) | Fitness:   7331.5 | Puntos: 11877 | Dist:   243.1km
2025-10-17 03:53:32 - INFO -   Gen   21 | Tiempo:   34.4m (resta: 445m) | Fitness:   7355.6 | Puntos: 11821 | Dist:   217.9km
2025-10-17 03:54:36 - INFO -   Gen   22 | Tiempo:   35.5m (resta: 444m) | Fitness:   7534.4 | Puntos: 11907 | Dist:   241.9km
2025-10-17 03:55:39 - INFO -   Gen   23 | Tiempo:   36.5m (resta: 443m) | Fitness:   7534.4 | Puntos: 11907 | Dist:   241.9km
2025-10-17 03:56:41 - INFO -   Gen   24 | Tiempo:   37.6m (resta: 442m) | Fitness:   7534.4 | Puntos: 11907 | Dist:   241.9km
2025-10-17 03:57:42 - INFO -   Gen   25 | Tiempo:   38.6m (resta: 441m) | Fitness:   7582.1 | Puntos: 11955 | Dist:   243.2km
2025-10-17 03:59:39 - INFO -   Gen   27 | Tiempo:   40.6m (resta: 439m) | Fitness:   7582.1 | Puntos: 11955 | Dist:   243.2km
2025-10-17 04:01:32 - INFO -   Gen   29 | Tiempo:   42.5m (resta: 437m) | Fitness:   7582.1 | Puntos: 11955 | Dist:   243.2km
2025-10-17 04:03:18 - INFO -   Gen   31 | Tiempo:   44.3m (resta: 435m) | Fitness:   7768.6 | Puntos: 12033 | Dist:   214.6km
2025-10-17 04:04:54 - INFO -   Gen   33 | Tiempo:   46.0m (resta: 433m) | Fitness:   8359.1 | Puntos: 12424 | Dist:   216.4km
2025-10-17 04:06:17 - INFO -   Gen   35 | Tiempo:   47.5m (resta: 432m) | Fitness:   8359.1 | Puntos: 12424 | Dist:   216.4km
2025-10-17 04:07:30 - INFO -   Gen   37 | Tiempo:   48.8m (resta: 431m) | Fitness:   8359.1 | Puntos: 12424 | Dist:   216.4km
2025-10-17 04:08:41 - INFO -   Gen   39 | Tiempo:   50.0m (resta: 429m) | Fitness:   8359.1 | Puntos: 12424 | Dist:   216.4km
2025-10-17 04:09:47 - INFO -   Gen   41 | Tiempo:   51.2m (resta: 428m) | Fitness:   8359.1 | Puntos: 12424 | Dist:   216.4km
2025-10-17 04:10:53 - INFO -   Gen   43 | Tiempo:   52.3m (resta: 427m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:12:01 - INFO -   Gen   45 | Tiempo:   53.4m (resta: 426m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:13:13 - INFO -   Gen   47 | Tiempo:   54.5m (resta: 425m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:14:28 - INFO -   Gen   49 | Tiempo:   55.7m (resta: 424m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:15:05 - INFO -   Gen   50 | Tiempo:   56.4m (resta: 423m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:16:18 - INFO -   Gen   52 | Tiempo:   57.6m (resta: 422m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
2025-10-17 04:17:28 - INFO -   Gen   54 | Tiempo:   58.8m (resta: 421m) | Fitness:   8529.3 | Puntos: 12491 | Dist:   205.6km
