2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-18 02:28:24 - INFO - Log guardado en: logs\18_02_28_Elit_10.log
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - 
================================================================================
2025-10-18 02:28:24 - INFO - ALGORITMO GENÉTICO
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - Días: 20
2025-10-18 02:28:24 - INFO - Lugares/día: 12
2025-10-18 02:28:24 - INFO - Población: 750
2025-10-18 02:28:24 - INFO - Tiempo límite: 2h 0m (2.00h)
2025-10-18 02:28:24 - INFO - Elitismo: 10%
2025-10-18 02:28:24 - INFO - Dataset: 2237 lugares en 20 ciudades
2025-10-18 02:28:24 - INFO - 💡 Presiona 'q' + ENTER en cualquier momento para detener y guardar el mejor resultado
2025-10-18 02:28:24 - INFO - ================================================================================

2025-10-18 02:28:24 - INFO - Creando población inicial
2025-10-18 02:32:50 - INFO - Evaluando población inicial
2025-10-18 02:32:54 - INFO - 
Iniciando evolución (hasta 7200s)...

2025-10-18 02:33:57 - INFO -   Gen   13 | Tiempo:    5.5m (resta: 114m) | Fitness:    126.0 | Puntos: 16844 | Dist:   155.2km
2025-10-18 02:35:00 - INFO -   Gen   30 | Tiempo:    6.5m (resta: 113m) | Fitness:    131.5 | Puntos: 16791 | Dist:   150.4km
2025-10-18 02:36:01 - INFO -   Gen   45 | Tiempo:    7.5m (resta: 112m) | Fitness:    136.0 | Puntos: 16953 | Dist:   176.7km
2025-10-18 02:36:22 - INFO -   Gen   50 | Tiempo:    7.9m (resta: 112m) | Fitness:    136.0 | Puntos: 16953 | Dist:   176.7km
2025-10-18 02:37:25 - INFO -   Gen   66 | Tiempo:    8.9m (resta: 111m) | Fitness:    138.5 | Puntos: 17089 | Dist:   136.3km
2025-10-18 02:38:27 - INFO -   Gen   82 | Tiempo:   10.0m (resta: 110m) | Fitness:    139.4 | Puntos: 17179 | Dist:   139.7km
2025-10-18 02:39:28 - INFO -   Gen   98 | Tiempo:   11.0m (resta: 108m) | Fitness:    140.9 | Puntos: 17129 | Dist:   129.5km
2025-10-18 02:39:36 - INFO -   Gen  100 | Tiempo:   11.1m (resta: 108m) | Fitness:    140.9 | Puntos: 17129 | Dist:   129.5km
2025-10-18 02:40:37 - INFO -   Gen  116 | Tiempo:   12.2m (resta: 107m) | Fitness:    143.0 | Puntos: 17241 | Dist:   144.0km
2025-10-18 02:41:39 - INFO -   Gen  132 | Tiempo:   13.2m (resta: 106m) | Fitness:    145.2 | Puntos: 17360 | Dist:   132.0km
2025-10-18 02:42:40 - INFO -   Gen  148 | Tiempo:   14.2m (resta: 105m) | Fitness:    145.2 | Puntos: 17263 | Dist:   126.8km
2025-10-18 02:42:48 - INFO -   Gen  150 | Tiempo:   14.3m (resta: 105m) | Fitness:    145.2 | Puntos: 17263 | Dist:   126.8km
2025-10-18 02:43:49 - INFO -   Gen  166 | Tiempo:   15.3m (resta: 104m) | Fitness:    146.9 | Puntos: 17332 | Dist:   127.6km
2025-10-18 02:44:50 - INFO -   Gen  182 | Tiempo:   16.4m (resta: 103m) | Fitness:    147.2 | Puntos: 17360 | Dist:   135.3km
2025-10-18 02:45:51 - INFO -   Gen  198 | Tiempo:   17.4m (resta: 102m) | Fitness:    148.2 | Puntos: 17354 | Dist:   123.9km
2025-10-18 02:45:59 - INFO -   Gen  200 | Tiempo:   17.5m (resta: 102m) | Fitness:    148.2 | Puntos: 17354 | Dist:   123.9km
2025-10-18 02:47:00 - INFO -   Gen  216 | Tiempo:   18.5m (resta: 101m) | Fitness:    148.2 | Puntos: 17354 | Dist:   123.9km
